Gene_Human		d3	d6	d10
IGHA1	0	0	43.27409285	71.67293518
IGHD	0	0	12.83289558	16.25251203
IGHG2	0	0	0	36.73322875
IGHM	0	0	6.925815444	203.6826474
IGKC	0	39.66865565	43.96765684	485.1706382
IGLC1	0	16.53318189	0	131.9535426
IGLC1	0	17.10837936	19.24879768	303.8215649
IGLC1	0	19.82515129	12.23322756	364.5858778
IGLC1	0	34.21675872	12.23322756	182.2929389
AC136616.3	0	45.50228148	52.79198421	113.7675842
IGHV1-18	0	91.00456297	116.9564621	81.26256014
IGHV1-24	0	155.6764407	372.1236423	260.0712595
IGHV1-69-2	0	186.6736245	183.7838429	192.0187953
IGHV1-69D	0	0	0	0
IGHV3-49	0	0	0	0
IGHV3-66	0	0	18.89560874	15.20877272
IGHV3-72	0	0	19.78544558	0
IGHV3OR16-12	0	0	40.30024268	0
IGHV7-81	0	0	12.23322756	15.49304885
IGKV1OR2-108	0	0	0	0
IGKV2-24	0	0	0	20.25477099
IGKV2-24	0	0	0	0
IGKV2D-29	0	23.68007835	0	0
IGKV3-20	17.53601182	0	12.50646115	15.61192648
IGLV3-9	0	17.94702541	12.38384879	0
IGLV8-61	0	0	14.68782065	0
1-Mar	17.25280602	19.62354692	14.8937044	13.27571514
7-Mar	70.38242306	29.12643741	25.87955901	15.51737825
1-Sep	3.988868584	33.46101919	65.41814067	61.24678848
2-Sep	1.616624735	30.23280911	17.78623415	18.56859148
6-Sep	1.245376943	5.904876223	0	15.16530881
9-Sep	1.670621469	8.755666175	3.730172894	22.53605522
11-Sep	32.26531464	8.42201611	13.89414933	5.124099463
1-Dec	0	0	0	0
AADAC	0	0	0	0
AAK1	0.962977154	7.571102277	13.85676165	8.528324628
AAMDC	111.7920754	108.7483124	217.792399	80.46759267
AAMP	0	21.2575544	68.76011008	22.77832984
AANAT	0	0	18.87049694	0
ABAT	8.336032008	17.57612035	12.95110912	9.308820569
ABCA4	12.67500631	5.05987221	5.950693725	6.213761414
ABCB6	0	6.921619024	5.822706354	9.729250761
